Descr,Degree of Truth
For almost every patients in euthymia with low energy_mean we have medium pitch_mean,0.0
For most patients in euthymia with low energy_mean we have medium pitch_mean,0.0
For around half patients in euthymia with low energy_mean we have medium pitch_mean,0.07998776422393467
For few patients in euthymia with low energy_mean we have medium pitch_mean,0.7520073414656392
For almost none patients in euthymia with low energy_mean we have medium pitch_mean,0.0
For almost every patients in euthymia with low energy_mean we have high pitch_mean,0.0
For most patients in euthymia with low energy_mean we have high pitch_mean,0.43318217113420365
For around half patients in euthymia with low energy_mean we have high pitch_mean,0.6113630481096601
For few patients in euthymia with low energy_mean we have high pitch_mean,0.0
For almost none patients in euthymia with low energy_mean we have high pitch_mean,0.0
For almost every patients in depression with low energy_mean we have medium energy_mean,0.0
For most patients in depression with low energy_mean we have medium energy_mean,0.0
For around half patients in depression with low energy_mean we have medium energy_mean,0.5506127490610186
For few patients in depression with low energy_mean we have medium energy_mean,0.46963235056338876
For almost none patients in depression with low energy_mean we have medium energy_mean,0.0
For almost every patients in depression with low energy_mean we have high energy_mean,0.0
For most patients in depression with low energy_mean we have high energy_mean,0.0
For around half patients in depression with low energy_mean we have high energy_mean,0.0
For few patients in depression with low energy_mean we have high energy_mean,1.0
For almost none patients in depression with low energy_mean we have high energy_mean,0.4381772387178278
For almost every patients in depression with low energy_mean we have low f0_slope_mean,0.0
For most patients in depression with low energy_mean we have low f0_slope_mean,0.0
For around half patients in depression with low energy_mean we have low f0_slope_mean,1.0
For few patients in depression with low energy_mean we have low f0_slope_mean,0.0
For almost none patients in depression with low energy_mean we have low f0_slope_mean,0.0
For almost every patients in depression with low energy_mean we have medium f0_slope_mean,0.0
For most patients in depression with low energy_mean we have medium f0_slope_mean,0.0
For around half patients in depression with low energy_mean we have medium f0_slope_mean,0.32373633592807594
For few patients in depression with low energy_mean we have medium f0_slope_mean,0.6057581984431545
For almost none patients in depression with low energy_mean we have medium f0_slope_mean,0.0
For almost every patients in depression with low energy_mean we have high f0_slope_mean,0.0
For most patients in depression with low energy_mean we have high f0_slope_mean,0.0038977276892427815
For around half patients in depression with low energy_mean we have high f0_slope_mean,1.0
For few patients in depression with low energy_mean we have high f0_slope_mean,0.0
For almost none patients in depression with low energy_mean we have high f0_slope_mean,0.0
For almost every patients in depression with low energy_mean we have low localjitter,0.0
For most patients in depression with low energy_mean we have low localjitter,0.0
For around half patients in depression with low energy_mean we have low localjitter,1.0
For few patients in depression with low energy_mean we have low localjitter,0.0
For almost none patients in depression with low energy_mean we have low localjitter,0.0
For almost every patients in depression with low energy_mean we have medium localjitter,0.0
For most patients in depression with low energy_mean we have medium localjitter,0.0
For around half patients in depression with low energy_mean we have medium localjitter,0.33931644707129466
For few patients in depression with low energy_mean we have medium localjitter,0.5964101317572232
For almost none patients in depression with low energy_mean we have medium localjitter,0.0
For almost every patients in depression with low energy_mean we have high localjitter,0.0
For most patients in depression with low energy_mean we have high localjitter,0.0
For around half patients in depression with low energy_mean we have high localjitter,1.0
For few patients in depression with low energy_mean we have high localjitter,0.0
For almost none patients in depression with low energy_mean we have high localjitter,0.0
For almost every patients in depression with low energy_mean we have low localshimmer,0.0
For most patients in depression with low energy_mean we have low localshimmer,0.0
For around half patients in depression with low energy_mean we have low localshimmer,1.0
For few patients in depression with low energy_mean we have low localshimmer,0.0
For almost none patients in depression with low energy_mean we have low localshimmer,0.0
For almost every patients in depression with low energy_mean we have medium localshimmer,0.0
For most patients in depression with low energy_mean we have medium localshimmer,0.0
For around half patients in depression with low energy_mean we have medium localshimmer,0.24396451397809948
For few patients in depression with low energy_mean we have medium localshimmer,0.6536212916131403
For almost none patients in depression with low energy_mean we have medium localshimmer,0.0
For almost every patients in depression with low energy_mean we have high localshimmer,0.0
For most patients in depression with low energy_mean we have high localshimmer,0.0
For around half patients in depression with low energy_mean we have high localshimmer,1.0
For few patients in depression with low energy_mean we have high localshimmer,0.0
For almost none patients in depression with low energy_mean we have high localshimmer,0.0
For almost every patients in depression with low energy_mean we have low pitch_mean,0.0
For most patients in depression with low energy_mean we have low pitch_mean,0.2186398827568583
For around half patients in depression with low energy_mean we have low pitch_mean,0.9689335287385691
For few patients in depression with low energy_mean we have low pitch_mean,0.0
For almost none patients in depression with low energy_mean we have low pitch_mean,0.0
For almost every patients in depression with low energy_mean we have medium pitch_mean,0.0
For most patients in depression with low energy_mean we have medium pitch_mean,0.0
For around half patients in depression with low energy_mean we have medium pitch_mean,0.5839219526754093
For few patients in depression with low energy_mean we have medium pitch_mean,0.44964682839475445
For almost none patients in depression with low energy_mean we have medium pitch_mean,0.0
For almost every patients in depression with low energy_mean we have high pitch_mean,0.0
For most patients in depression with low energy_mean we have high pitch_mean,0.0
For around half patients in depression with low energy_mean we have high pitch_mean,1.0
For few patients in depression with low energy_mean we have high pitch_mean,0.0
For almost none patients in depression with low energy_mean we have high pitch_mean,0.0
For almost every patients with low energy_mean we have medium energy_mean,0.0
For most patients with low energy_mean we have medium energy_mean,0.0
For around half patients with low energy_mean we have medium energy_mean,0.7774157402245684
For few patients with low energy_mean we have medium energy_mean,0.3335505558652589
For almost none patients with low energy_mean we have medium energy_mean,0.0
For almost every patients with low energy_mean we have high energy_mean,0.0
For most patients with low energy_mean we have high energy_mean,0.0
For around half patients with low energy_mean we have high energy_mean,0.0
For few patients with low energy_mean we have high energy_mean,0.9821352060067743
For almost none patients with low energy_mean we have high energy_mean,0.30355867667795705
For almost every patients with low energy_mean we have low f0_slope_mean,0.0
For most patients with low energy_mean we have low f0_slope_mean,0.0
For around half patients with low energy_mean we have low f0_slope_mean,1.0
For few patients with low energy_mean we have low f0_slope_mean,0.0
For almost none patients with low energy_mean we have low f0_slope_mean,0.0
For almost every patients with low energy_mean we have medium f0_slope_mean,0.0
For most patients with low energy_mean we have medium f0_slope_mean,0.0
For around half patients with low energy_mean we have medium f0_slope_mean,0.20843106688231414
For few patients with low energy_mean we have medium f0_slope_mean,0.6749413598706115
For almost none patients with low energy_mean we have medium f0_slope_mean,0.0
For almost every patients with low energy_mean we have high f0_slope_mean,0.0
For most patients with low energy_mean we have high f0_slope_mean,0.05382339914582752
For around half patients with low energy_mean we have high f0_slope_mean,1.0
For few patients with low energy_mean we have high f0_slope_mean,0.0
For almost none patients with low energy_mean we have high f0_slope_mean,0.0
For almost every patients with low energy_mean we have low localjitter,0.0
For most patients with low energy_mean we have low localjitter,0.0
For around half patients with low energy_mean we have low localjitter,1.0
For few patients with low energy_mean we have low localjitter,0.0
For almost none patients with low energy_mean we have low localjitter,0.0
For almost every patients with low energy_mean we have medium localjitter,0.0
For most patients with low energy_mean we have medium localjitter,0.0
For around half patients with low energy_mean we have medium localjitter,0.2873392517855733
For few patients with low energy_mean we have medium localjitter,0.6275964489286561
For almost none patients with low energy_mean we have medium localjitter,0.0
For almost every patients with low energy_mean we have high localjitter,0.0
For most patients with low energy_mean we have high localjitter,0.015283937866254402
For around half patients with low energy_mean we have high localjitter,1.0
For few patients with low energy_mean we have high localjitter,0.0
For almost none patients with low energy_mean we have high localjitter,0.0
For almost every patients with low energy_mean we have low localshimmer,0.0
For most patients with low energy_mean we have low localshimmer,0.0
For around half patients with low energy_mean we have low localshimmer,1.0
For few patients with low energy_mean we have low localshimmer,0.0
For almost none patients with low energy_mean we have low localshimmer,0.0
For almost every patients with low energy_mean we have medium localshimmer,0.0
For most patients with low energy_mean we have medium localshimmer,0.0
For around half patients with low energy_mean we have medium localshimmer,0.25673382545709283
For few patients with low energy_mean we have medium localshimmer,0.6459597047257444
For almost none patients with low energy_mean we have medium localshimmer,0.0
For almost every patients with low energy_mean we have high localshimmer,0.0
For most patients with low energy_mean we have high localshimmer,0.0788893804989884
For around half patients with low energy_mean we have high localshimmer,1.0
For few patients with low energy_mean we have high localshimmer,0.0
For almost none patients with low energy_mean we have high localshimmer,0.0
For almost every patients with low energy_mean we have low pitch_mean,0.0
For most patients with low energy_mean we have low pitch_mean,0.0
For around half patients with low energy_mean we have low pitch_mean,1.0
For few patients with low energy_mean we have low pitch_mean,0.0
For almost none patients with low energy_mean we have low pitch_mean,0.0
For almost every patients with low energy_mean we have medium pitch_mean,0.0
For most patients with low energy_mean we have medium pitch_mean,0.0
For around half patients with low energy_mean we have medium pitch_mean,0.4109686519840101
For few patients with low energy_mean we have medium pitch_mean,0.5534188088095939
For almost none patients with low energy_mean we have medium pitch_mean,0.0
For almost every patients with low energy_mean we have high pitch_mean,0.0
For most patients with low energy_mean we have high pitch_mean,0.0
For around half patients with low energy_mean we have high pitch_mean,1.0
For few patients with low energy_mean we have high pitch_mean,0.0
For almost none patients with low energy_mean we have high pitch_mean,0.0
For almost every patients in euthymia with medium energy_mean we have low energy_mean,0.5178535251464119
For most patients in euthymia with medium energy_mean we have low energy_mean,1.0
For around half patients in euthymia with medium energy_mean we have low energy_mean,0.0
For few patients in euthymia with medium energy_mean we have low energy_mean,0.0
For almost none patients in euthymia with medium energy_mean we have low energy_mean,0.0
For almost every patients in euthymia with medium energy_mean we have high energy_mean,0.0
For most patients in euthymia with medium energy_mean we have high energy_mean,0.0
For around half patients in euthymia with medium energy_mean we have high energy_mean,1.0
For few patients in euthymia with medium energy_mean we have high energy_mean,0.0
For almost none patients in euthymia with medium energy_mean we have high energy_mean,0.0
For almost every patients in euthymia with medium energy_mean we have low f0_slope_mean,0.0
For most patients in euthymia with medium energy_mean we have low f0_slope_mean,0.06653749266117193
For around half patients in euthymia with medium energy_mean we have low f0_slope_mean,1.0
For few patients in euthymia with medium energy_mean we have low f0_slope_mean,0.0
For almost none patients in euthymia with medium energy_mean we have low f0_slope_mean,0.0
For almost every patients in euthymia with medium energy_mean we have medium f0_slope_mean,0.0
For most patients in euthymia with medium energy_mean we have medium f0_slope_mean,0.0
For around half patients in euthymia with medium energy_mean we have medium f0_slope_mean,0.731387435525779
For few patients in euthymia with medium energy_mean we have medium f0_slope_mean,0.36116753868453255
For almost none patients in euthymia with medium energy_mean we have medium f0_slope_mean,0.0
For almost every patients in euthymia with medium energy_mean we have high f0_slope_mean,0.0
For most patients in euthymia with medium energy_mean we have high f0_slope_mean,0.28642048727051994
For around half patients in euthymia with medium energy_mean we have high f0_slope_mean,0.855965854549133
For few patients in euthymia with medium energy_mean we have high f0_slope_mean,0.0
For almost none patients in euthymia with medium energy_mean we have high f0_slope_mean,0.0
For almost every patients in euthymia with medium energy_mean we have low localjitter,0.0
For most patients in euthymia with medium energy_mean we have low localjitter,0.3463464089088952
For around half patients in euthymia with medium energy_mean we have low localjitter,0.7560893184851744
For few patients in euthymia with medium energy_mean we have low localjitter,0.0
For almost none patients in euthymia with medium energy_mean we have low localjitter,0.0
For almost every patients in euthymia with medium energy_mean we have medium localjitter,0.0
For most patients in euthymia with medium energy_mean we have medium localjitter,0.0
For around half patients in euthymia with medium energy_mean we have medium localjitter,1.0
For few patients in euthymia with medium energy_mean we have medium localjitter,0.17473615302863632
For almost none patients in euthymia with medium energy_mean we have medium localjitter,0.0
For almost every patients in euthymia with medium energy_mean we have high localjitter,0.0
For most patients in euthymia with medium energy_mean we have high localjitter,0.13287862807320594
For around half patients in euthymia with medium energy_mean we have high localjitter,1.0
For few patients in euthymia with medium energy_mean we have high localjitter,0.0
For almost none patients in euthymia with medium energy_mean we have high localjitter,0.0
For almost every patients in euthymia with medium energy_mean we have low localshimmer,0.0
For most patients in euthymia with medium energy_mean we have low localshimmer,0.31068793104492237
For around half patients in euthymia with medium energy_mean we have low localshimmer,0.815520114925129
For few patients in euthymia with medium energy_mean we have low localshimmer,0.0
For almost none patients in euthymia with medium energy_mean we have low localshimmer,0.0
For almost every patients in euthymia with medium energy_mean we have medium localshimmer,0.0
For most patients in euthymia with medium energy_mean we have medium localshimmer,0.0
For around half patients in euthymia with medium energy_mean we have medium localshimmer,0.7110931093573815
For few patients in euthymia with medium energy_mean we have medium localshimmer,0.3733441343855711
For almost none patients in euthymia with medium energy_mean we have medium localshimmer,0.0
For almost every patients in euthymia with medium energy_mean we have high localshimmer,0.0
For most patients in euthymia with medium energy_mean we have high localshimmer,0.04055656497876748
For around half patients in euthymia with medium energy_mean we have high localshimmer,1.0
For few patients in euthymia with medium energy_mean we have high localshimmer,0.0
For almost none patients in euthymia with medium energy_mean we have high localshimmer,0.0
For almost every patients in euthymia with medium energy_mean we have low pitch_mean,0.0
For most patients in euthymia with medium energy_mean we have low pitch_mean,0.0
For around half patients in euthymia with medium energy_mean we have low pitch_mean,0.9133324096073895
For few patients in euthymia with medium energy_mean we have low pitch_mean,0.2520005542355663
For almost none patients in euthymia with medium energy_mean we have low pitch_mean,0.0
For almost every patients in euthymia with medium energy_mean we have medium pitch_mean,0.0
For most patients in euthymia with medium energy_mean we have medium pitch_mean,0.0
For around half patients in euthymia with medium energy_mean we have medium pitch_mean,0.18903858275338062
For few patients in euthymia with medium energy_mean we have medium pitch_mean,0.6865768503479717
For almost none patients in euthymia with medium energy_mean we have medium pitch_mean,0.0
For almost every patients in euthymia with medium energy_mean we have high pitch_mean,0.11017475079563922
For most patients in euthymia with medium energy_mean we have high pitch_mean,0.8661048504773834
For around half patients in euthymia with medium energy_mean we have high pitch_mean,0.0
For few patients in euthymia with medium energy_mean we have high pitch_mean,0.0
For almost none patients in euthymia with medium energy_mean we have high pitch_mean,0.0
For almost every patients in depression with medium energy_mean we have low energy_mean,0.5262086844844325
For most patients in depression with medium energy_mean we have low energy_mean,1.0
For around half patients in depression with medium energy_mean we have low energy_mean,0.0
For few patients in depression with medium energy_mean we have low energy_mean,0.0
For almost none patients in depression with medium energy_mean we have low energy_mean,0.0
For almost every patients in depression with medium energy_mean we have high energy_mean,0.0
For most patients in depression with medium energy_mean we have high energy_mean,0.0
For around half patients in depression with medium energy_mean we have high energy_mean,1.0
For few patients in depression with medium energy_mean we have high energy_mean,0.0
For almost none patients in depression with medium energy_mean we have high energy_mean,0.0
For almost every patients in depression with medium energy_mean we have low f0_slope_mean,0.0
For most patients in depression with medium energy_mean we have low f0_slope_mean,0.43261427722488566
For around half patients in depression with medium energy_mean we have low f0_slope_mean,0.6123095379585235
For few patients in depression with medium energy_mean we have low f0_slope_mean,0.0
For almost none patients in depression with medium energy_mean we have low f0_slope_mean,0.0
For almost every patients in depression with medium energy_mean we have medium f0_slope_mean,0.0
For most patients in depression with medium energy_mean we have medium f0_slope_mean,0.0
For around half patients in depression with medium energy_mean we have medium f0_slope_mean,1.0
For few patients in depression with medium energy_mean we have medium f0_slope_mean,0.15428322919906814
For almost none patients in depression with medium energy_mean we have medium f0_slope_mean,0.0
For almost every patients in depression with medium energy_mean we have high f0_slope_mean,0.0
For most patients in depression with medium energy_mean we have high f0_slope_mean,0.0538960215316284
For around half patients in depression with medium energy_mean we have high f0_slope_mean,1.0
For few patients in depression with medium energy_mean we have high f0_slope_mean,0.0
For almost none patients in depression with medium energy_mean we have high f0_slope_mean,0.0
For almost every patients in depression with medium energy_mean we have low localjitter,0.0
For most patients in depression with medium energy_mean we have low localjitter,0.5168637329586528
For around half patients in depression with medium energy_mean we have low localjitter,0.47189377840224495
For few patients in depression with medium energy_mean we have low localjitter,0.0
For almost none patients in depression with medium energy_mean we have low localjitter,0.0
For almost every patients in depression with medium energy_mean we have medium localjitter,0.0
For most patients in depression with medium energy_mean we have medium localjitter,0.0
For around half patients in depression with medium energy_mean we have medium localjitter,0.8284898367368622
For few patients in depression with medium energy_mean we have medium localjitter,0.3029060979578827
For almost none patients in depression with medium energy_mean we have medium localjitter,0.0
For almost every patients in depression with medium energy_mean we have high localjitter,0.0
For most patients in depression with medium energy_mean we have high localjitter,0.0
For around half patients in depression with medium energy_mean we have high localjitter,1.0
For few patients in depression with medium energy_mean we have high localjitter,0.0
For almost none patients in depression with medium energy_mean we have high localjitter,0.0
For almost every patients in depression with medium energy_mean we have low localshimmer,0.0
For most patients in depression with medium energy_mean we have low localshimmer,0.7000443434501094
For around half patients in depression with medium energy_mean we have low localshimmer,0.16659276091648414
For few patients in depression with medium energy_mean we have low localshimmer,0.0
For almost none patients in depression with medium energy_mean we have low localshimmer,0.0
For almost every patients in depression with medium energy_mean we have medium localshimmer,0.0
For most patients in depression with medium energy_mean we have medium localshimmer,0.0
For around half patients in depression with medium energy_mean we have medium localshimmer,0.4842650011599157
For few patients in depression with medium energy_mean we have medium localshimmer,0.5094409993040505
For almost none patients in depression with medium energy_mean we have medium localshimmer,0.0
For almost every patients in depression with medium energy_mean we have high localshimmer,0.0
For most patients in depression with medium energy_mean we have high localshimmer,0.0
For around half patients in depression with medium energy_mean we have high localshimmer,1.0
For few patients in depression with medium energy_mean we have high localshimmer,0.03582335859015795
For almost none patients in depression with medium energy_mean we have high localshimmer,0.0
For almost every patients in depression with medium energy_mean we have low pitch_mean,0.0
For most patients in depression with medium energy_mean we have low pitch_mean,0.1251665321189468
For around half patients in depression with medium energy_mean we have low pitch_mean,1.0
For few patients in depression with medium energy_mean we have low pitch_mean,0.0
For almost none patients in depression with medium energy_mean we have low pitch_mean,0.0
For almost every patients in depression with medium energy_mean we have medium pitch_mean,0.0
For most patients in depression with medium energy_mean we have medium pitch_mean,0.0
For around half patients in depression with medium energy_mean we have medium pitch_mean,1.0
For few patients in depression with medium energy_mean we have medium pitch_mean,0.13019193808488216
For almost none patients in depression with medium energy_mean we have medium pitch_mean,0.0
For almost every patients in depression with medium energy_mean we have high pitch_mean,0.0
For most patients in depression with medium energy_mean we have high pitch_mean,0.3329055863332606
For around half patients in depression with medium energy_mean we have high pitch_mean,0.7784906894445652
For few patients in depression with medium energy_mean we have high pitch_mean,0.0
For almost none patients in depression with medium energy_mean we have high pitch_mean,0.0
For almost every patients with medium energy_mean we have low energy_mean,0.5228288645809134
For most patients with medium energy_mean we have low energy_mean,1.0
For around half patients with medium energy_mean we have low energy_mean,0.0
For few patients with medium energy_mean we have low energy_mean,0.0
For almost none patients with medium energy_mean we have low energy_mean,0.0
For almost every patients with medium energy_mean we have high energy_mean,0.0
For most patients with medium energy_mean we have high energy_mean,0.0
For around half patients with medium energy_mean we have high energy_mean,1.0
For few patients with medium energy_mean we have high energy_mean,0.0
For almost none patients with medium energy_mean we have high energy_mean,0.0
For almost every patients with medium energy_mean we have low f0_slope_mean,0.0
For most patients with medium energy_mean we have low f0_slope_mean,0.2845292973185584
For around half patients with medium energy_mean we have low f0_slope_mean,0.8591178378024023
For few patients with medium energy_mean we have low f0_slope_mean,0.0
For almost none patients with medium energy_mean we have low f0_slope_mean,0.0
For almost every patients with medium energy_mean we have medium f0_slope_mean,0.0
For most patients with medium energy_mean we have medium f0_slope_mean,0.0
For around half patients with medium energy_mean we have medium f0_slope_mean,0.9367135942339949
For few patients with medium energy_mean we have medium f0_slope_mean,0.237971843459603
For almost none patients with medium energy_mean we have medium f0_slope_mean,0.0
For almost every patients with medium energy_mean we have high f0_slope_mean,0.0
For most patients with medium energy_mean we have high f0_slope_mean,0.14795656371463198
For around half patients with medium energy_mean we have high f0_slope_mean,1.0
For few patients with medium energy_mean we have high f0_slope_mean,0.0
For almost none patients with medium energy_mean we have high f0_slope_mean,0.0
For almost every patients with medium energy_mean we have low localjitter,0.0
For most patients with medium energy_mean we have low localjitter,0.4478862518116771
For around half patients with medium energy_mean we have low localjitter,0.5868562469805377
For few patients with medium energy_mean we have low localjitter,0.0
For almost none patients with medium energy_mean we have low localjitter,0.0
For almost every patients with medium energy_mean we have medium localjitter,0.0
For most patients with medium energy_mean we have medium localjitter,0.0
For around half patients with medium energy_mean we have medium localjitter,0.9149017796213894
For few patients with medium energy_mean we have medium localjitter,0.2510589322271663
For almost none patients with medium energy_mean we have medium localjitter,0.0
For almost every patients with medium energy_mean we have high localjitter,0.0
For most patients with medium energy_mean we have high localjitter,0.0
For around half patients with medium energy_mean we have high localjitter,1.0
For few patients with medium energy_mean we have high localjitter,0.0
For almost none patients with medium energy_mean we have high localjitter,0.0
For almost every patients with medium energy_mean we have low localshimmer,0.0
For most patients with medium energy_mean we have low localshimmer,0.5425423139888912
For around half patients with medium energy_mean we have low localshimmer,0.42909614335184776
For few patients with medium energy_mean we have low localshimmer,0.0
For almost none patients with medium energy_mean we have low localshimmer,0.0
For almost every patients with medium energy_mean we have medium localshimmer,0.0
For most patients with medium energy_mean we have medium localshimmer,0.0
For around half patients with medium energy_mean we have medium localshimmer,0.5760212590298156
For few patients with medium energy_mean we have medium localshimmer,0.45438724458211066
For almost none patients with medium energy_mean we have medium localshimmer,0.0
For almost every patients with medium energy_mean we have high localshimmer,0.0
For most patients with medium energy_mean we have high localshimmer,0.0
For around half patients with medium energy_mean we have high localshimmer,1.0
For few patients with medium energy_mean we have high localshimmer,0.0
For almost none patients with medium energy_mean we have high localshimmer,0.0
For almost every patients with medium energy_mean we have low pitch_mean,0.0
For most patients with medium energy_mean we have low pitch_mean,0.0
For around half patients with medium energy_mean we have low pitch_mean,1.0
For few patients with medium energy_mean we have low pitch_mean,0.0
For almost none patients with medium energy_mean we have low pitch_mean,0.0
For almost every patients with medium energy_mean we have medium pitch_mean,0.0
For most patients with medium energy_mean we have medium pitch_mean,0.0
For around half patients with medium energy_mean we have medium pitch_mean,0.7412330777458314
For few patients with medium energy_mean we have medium pitch_mean,0.35526015335250116
For almost none patients with medium energy_mean we have medium pitch_mean,0.0
For almost every patients with medium energy_mean we have high pitch_mean,0.0
For most patients with medium energy_mean we have high pitch_mean,0.5485947686203964
For around half patients with medium energy_mean we have high pitch_mean,0.41900871896600583
For few patients with medium energy_mean we have high pitch_mean,0.0
For almost none patients with medium energy_mean we have high pitch_mean,0.0
For almost every patients in euthymia with high energy_mean we have low energy_mean,0.0
For most patients in euthymia with high energy_mean we have low energy_mean,0.0
For around half patients in euthymia with high energy_mean we have low energy_mean,0.0
For few patients in euthymia with high energy_mean we have low energy_mean,0.8190397439064198
For almost none patients in euthymia with high energy_mean we have low energy_mean,0.03173290651069959
For almost every patients in euthymia with high energy_mean we have medium energy_mean,0.0
For most patients in euthymia with high energy_mean we have medium energy_mean,0.0
For around half patients in euthymia with high energy_mean we have medium energy_mean,0.20168347980655932
For few patients in euthymia with high energy_mean we have medium energy_mean,0.6789899121160644
For almost none patients in euthymia with high energy_mean we have medium energy_mean,0.0
For almost every patients in euthymia with high energy_mean we have low f0_slope_mean,0.0
For most patients in euthymia with high energy_mean we have low f0_slope_mean,0.0
For around half patients in euthymia with high energy_mean we have low f0_slope_mean,1.0
For few patients in euthymia with high energy_mean we have low f0_slope_mean,0.0
For almost none patients in euthymia with high energy_mean we have low f0_slope_mean,0.0
For almost every patients in euthymia with high energy_mean we have medium f0_slope_mean,0.0
For most patients in euthymia with high energy_mean we have medium f0_slope_mean,0.0
For around half patients in euthymia with high energy_mean we have medium f0_slope_mean,0.326923069429896
For few patients in euthymia with high energy_mean we have medium f0_slope_mean,0.6038461583420623
For almost none patients in euthymia with high energy_mean we have medium f0_slope_mean,0.0
For almost every patients in euthymia with high energy_mean we have high f0_slope_mean,0.0
For most patients in euthymia with high energy_mean we have high f0_slope_mean,0.02766169170239539
For around half patients in euthymia with high energy_mean we have high f0_slope_mean,1.0
For few patients in euthymia with high energy_mean we have high f0_slope_mean,0.0
For almost none patients in euthymia with high energy_mean we have high f0_slope_mean,0.0
For almost every patients in euthymia with high energy_mean we have low localjitter,0.0
For most patients in euthymia with high energy_mean we have low localjitter,0.3061468965521787
For around half patients in euthymia with high energy_mean we have low localjitter,0.8230885057463684
For few patients in euthymia with high energy_mean we have low localjitter,0.0
For almost none patients in euthymia with high energy_mean we have low localjitter,0.0
For almost every patients in euthymia with high energy_mean we have medium localjitter,0.0
For most patients in euthymia with high energy_mean we have medium localjitter,0.0
For around half patients in euthymia with high energy_mean we have medium localjitter,0.6742732863161202
For few patients in euthymia with high energy_mean we have medium localjitter,0.39543602821032786
For almost none patients in euthymia with high energy_mean we have medium localjitter,0.0
For almost every patients in euthymia with high energy_mean we have high localjitter,0.0
For most patients in euthymia with high energy_mean we have high localjitter,0.0
